User_ID,Recommendation_Rank,Movie_ID,Predicted_Rating,Movie_Title,Strategy_Used
NEW_USER_999,1,316,4.302,Futurama: Monster Robot Maniac Fun Collection,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,2,270,4.289,Sex and the City: Season 4,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,3,223,4.211,Chappelle's Show: Season 1,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,4,325,4.195,Ghosts of Rwanda: Frontline,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,5,33,4.169,Aqua Teen Hunger Force: Vol. 1,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,6,209,4.161,Star Trek: Deep Space Nine: Season 5,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,7,241,4.158,North by Northwest,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,8,359,4.154,Absolutely Fabulous: Series 5,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,9,68,4.143,Invader Zim,Cold-Start Fallback (Popular/High-Quality)
NEW_USER_999,10,345,4.111,Star Trek: Voyager: Season 5,Cold-Start Fallback (Popular/High-Quality)
1488844,1,13,4.152,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,Personalized (SVD)
1488844,2,325,4.070,Ghosts of Rwanda: Frontline,Personalized (SVD)
1488844,3,209,4.057,Star Trek: Deep Space Nine: Season 5,Personalized (SVD)
1488844,4,33,4.041,Aqua Teen Hunger Force: Vol. 1,Personalized (SVD)
1488844,5,304,4.035,King of the Hill: Season 1,Personalized (SVD)
1488844,6,68,3.995,Invader Zim,Personalized (SVD)
1488844,7,135,3.980,GTO: Great Teacher Onizuka: Set 2,Personalized (SVD)
1488844,8,85,3.970,Elfen Lied,Personalized (SVD)
1488844,9,316,3.937,Futurama: Monster Robot Maniac Fun Collection,Personalized (SVD)
1488844,10,106,3.923,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Personalized (SVD)
822109,1,13,4.521,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,Personalized (SVD)
822109,2,325,4.428,Ghosts of Rwanda: Frontline,Personalized (SVD)
822109,3,33,4.356,Aqua Teen Hunger Force: Vol. 1,Personalized (SVD)
822109,4,106,4.340,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Personalized (SVD)
822109,5,304,4.334,King of the Hill: Season 1,Personalized (SVD)
822109,6,215,4.332,That '70s Show: Season 1,Personalized (SVD)
822109,7,135,4.320,GTO: Great Teacher Onizuka: Set 2,Personalized (SVD)
822109,8,68,4.319,Invader Zim,Personalized (SVD)
822109,9,241,4.302,North by Northwest,Personalized (SVD)
822109,10,359,4.296,Absolutely Fabulous: Series 5,Personalized (SVD)
885013,1,13,4.702,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,Personalized (SVD)
885013,2,68,4.668,Invader Zim,Personalized (SVD)
885013,3,325,4.598,Ghosts of Rwanda: Frontline,Personalized (SVD)
885013,4,106,4.546,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Personalized (SVD)
